Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Growth rate 2022-2021 in %,Growth rate 2022-2012 in %,Share 2022 in %
Italy,0.45,0.47,0.45,0.45,0.44,0.43,0.42,0.44,0.4,0.4,0.44,0.42,0.54,0.48,0.49,0.48,0.46,0.44,0.44,0.45,0.44,0.44,0.42,0.43,0.36,0.34,0.45,0.45,0.44,0.48,0.4,0.45,0.44,0.44,0.48,0.47,0.5,0.42,0.38,0.44,0.37,0.38,0.33,0.42,0.49,0.51,0.46,0.41,0.52,0.57,0.44,0.41,0.35,0.47,0.44,0.45,0.43,0.3,-38.2,-4.4,0.6
Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.04,0.03,0.04,0.05,0.03,0.03,0.03,0.04,0.03,0.02,0.03,0.05,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.03,0.0,1.2,-3.4,0.1
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,21.2,0.5,0.0
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.5,-3.9,0.0
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.4,-7.5,0.0
North Macedonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.0,-7.7,2.1,0.0
Norway,0.53,0.52,0.57,0.64,0.61,0.62,0.67,0.72,0.78,0.82,0.82,0.87,0.77,0.86,0.94,0.89,0.99,0.98,1.13,1.13,1.09,1.02,1.1,1.16,1.26,1.29,1.17,1.24,1.27,1.19,1.29,1.11,1.17,1.23,1.29,1.51,1.27,1.36,1.1,1.13,1.4,1.22,1.36,1.41,1.26,1.17,1.19,1.4,1.26,1.32,1.33,1.38,1.36,1.32,1.19,1.33,1.35,1.2,-11.3,-1.5,2.9
Poland,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,-16.2,-0.8,0.0
Portugal,0.04,0.06,0.06,0.06,0.07,0.06,0.07,0.08,0.08,0.08,0.07,0.05,0.11,0.12,0.12,0.09,0.05,0.07,0.09,0.1,0.11,0.09,0.1,0.13,0.06,0.1,0.1,0.05,0.09,0.11,0.09,0.16,0.14,0.14,0.08,0.12,0.15,0.08,0.16,0.1,0.05,0.11,0.1,0.07,0.08,0.16,0.11,0.06,0.13,0.15,0.08,0.15,0.06,0.12,0.08,0.11,0.11,0.1,-45.6,1.0,0.2
Romania,0.01,0.01,0.02,0.02,0.02,0.03,0.05,0.08,0.08,0.09,0.1,0.09,0.1,0.11,0.12,0.13,0.14,0.13,0.11,0.12,0.14,0.12,0.12,0.16,0.15,0.12,0.16,0.12,0.14,0.14,0.18,0.17,0.19,0.2,0.19,0.16,0.16,0.17,0.14,0.17,0.21,0.19,0.16,0.17,0.16,0.2,0.15,0.12,0.15,0.18,0.16,0.17,0.14,0.17,0.15,0.15,0.16,0.1,-20.9,0.9,0.3
